NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
110499592	LOC110499592	hemoglobin subunit alpha-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048584.1	22574542	22575413
110499593	LOC110499593	hemoglobin subunit alpha-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048584.1	22591103	22591954
110513323	LOC110513323	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73650833	73651731
110513784	LOC110513784	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73676632	73677673
110538433	LOC110538433	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73686626	73687501
110538434	LOC110538434	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PSEUDO				NC_048576.1	73668763	73669683
110538435	LOC110538435	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73666463	73667287
110538436	LOC110538436	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73652866	73653837
110538437	LOC110538437	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	2			NC_048576.1	73628653	73629929
110538438	LOC110538438	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	2			NC_048576.1	73634721	73635984
110538972	LOC110538972	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PSEUDO				NC_048576.1	73658628	73659374
110538973	LOC110538973	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73656057	73656811
118936252	LOC118936252	hemoglobin subunit beta-1	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	3			NC_048576.1	73590430	73595413
118936300	LOC118936300	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40614297	40615287
118936354	LOC118936354	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048577.1	40610279	40615060
118937729	LOC118937729	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73632683	73633582
118937730	LOC118937730	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73638739	73639637
118937731	LOC118937731	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73644710	73645608
118937732	LOC118937732	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73684425	73685466
118937733	LOC118937733	hemoglobin subunit beta-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73692246	73693301
118937734	LOC118937734	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73678826	73679713
118937735	LOC118937735	hemoglobin embryonic subunit alpha-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048576.1	73694424	73695320
118942010	LOC118942010	hemoglobin subunit alpha-1-like	Oncorhynchus mykiss	rainbow trout	PROTEIN_CODING	1			NC_048584.1	22582816	22583667
